Iter,Time,Size
0,0.021265,1000
0,0.108371,10000
0,1.07126,100000
0,11.1995,1000000
1,0.01167,1000
1,0.102009,10000
1,1.00338,100000
1,9.74751,1000000
2,0.013102,1000
2,0.090324,10000
2,0.894011,100000
2,9.39294,1000000
3,0.010328,1000
3,0.090351,10000
3,0.894903,100000
3,9.21862,1000000
4,0.01001,1000
4,0.088124,10000
4,0.885003,100000
4,9.26425,1000000
5,0.01002,1000
5,0.093956,10000
5,0.870222,100000
5,9.22044,1000000
6,0.010015,1000
6,0.088029,10000
6,0.863921,100000
6,9.22408,1000000
7,0.010306,1000
7,0.088336,10000
7,0.860941,100000
7,9.19226,1000000
8,0.015462,1000
8,0.087588,10000
8,0.862146,100000
8,9.20349,1000000
9,0.010361,1000
9,0.088585,10000
9,0.86621,100000
9,9.21807,1000000
