Iter,Time,Size
0,0.005903,1000
0,0.00074,10000
0,0.000606,100000
0,0.001281,1000000
1,0.000544,1000
1,0.0005,10000
1,0.000545,100000
1,0.001329,1000000
2,0.000481,1000
2,0.000417,10000
2,0.000478,100000
2,0.001222,1000000
3,0.000527,1000
3,0.00037,10000
3,0.000397,100000
3,0.001352,1000000
4,0.000484,1000
4,0.000359,10000
4,0.001114,100000
4,0.001097,1000000
5,0.000497,1000
5,0.000408,10000
5,0.000425,100000
5,0.001376,1000000
6,0.000528,1000
6,0.00048,10000
6,0.000523,100000
6,0.001323,1000000
7,0.000441,1000
7,0.000381,10000
7,0.000397,100000
7,0.000991,1000000
8,0.000375,1000
8,0.000397,10000
8,0.000447,100000
8,0.001554,1000000
9,0.000409,1000
9,0.000358,10000
9,0.000882,100000
9,0.001149,1000000
