Iter,Time,Size,Sparsity
0,0.000302,1000,0.01
0,0.000248,10000,0.01
0,0.000273,100000,0.01
0,0.000933,1000000,0.01
0,0.000232,1000,0.05
0,0.000333,10000,0.05
0,0.000325,100000,0.05
0,0.001206,1000000,0.05
0,0.000335,1000,0.1
0,0.000308,10000,0.1
0,0.000253,100000,0.1
0,0.00148,1000000,0.1
1,0.000246,1000,0.01
1,0.000239,10000,0.01
1,0.000391,100000,0.01
1,0.000926,1000000,0.01
1,0.000229,1000,0.05
1,0.000394,10000,0.05
1,0.000413,100000,0.05
1,0.000824,1000000,0.05
1,0.000213,1000,0.1
1,0.000221,10000,0.1
1,0.000318,100000,0.1
1,0.000489,1000000,0.1
2,0.000216,1000,0.01
2,0.000211,10000,0.01
2,0.000267,100000,0.01
2,0.000628,1000000,0.01
2,0.000201,1000,0.05
2,0.000332,10000,0.05
2,0.000223,100000,0.05
2,0.000835,1000000,0.05
2,0.000509,1000,0.1
2,0.000213,10000,0.1
2,0.000223,100000,0.1
2,0.000332,1000000,0.1
3,0.000224,1000,0.01
3,0.000204,10000,0.01
3,0.000218,100000,0.01
3,0.000358,1000000,0.01
3,0.000265,1000,0.05
3,0.000218,10000,0.05
3,0.000227,100000,0.05
3,0.000745,1000000,0.05
3,0.000437,1000,0.1
3,0.000284,10000,0.1
3,0.000362,100000,0.1
3,0.000794,1000000,0.1
4,0.000214,1000,0.01
4,0.000198,10000,0.01
4,0.000215,100000,0.01
4,0.000233,1000000,0.01
4,0.000277,1000,0.05
4,0.000192,10000,0.05
4,0.000316,100000,0.05
4,0.000707,1000000,0.05
4,0.00058,1000,0.1
4,0.000272,10000,0.1
4,0.000418,100000,0.1
4,0.000902,1000000,0.1
5,0.000212,1000,0.01
5,0.000306,10000,0.01
5,0.000296,100000,0.01
5,0.000535,1000000,0.01
5,0.000383,1000,0.05
5,0.000266,10000,0.05
5,0.000205,100000,0.05
5,0.000421,1000000,0.05
5,0.000398,1000,0.1
5,0.000412,10000,0.1
5,0.000643,100000,0.1
5,0.001,1000000,0.1
6,0.000191,1000,0.01
6,0.000202,10000,0.01
6,0.000202,100000,0.01
6,0.001246,1000000,0.01
6,0.000227,1000,0.05
6,0.000463,10000,0.05
6,0.00039,100000,0.05
6,0.000843,1000000,0.05
6,0.000328,1000,0.1
6,0.000402,10000,0.1
6,0.000441,100000,0.1
6,0.000232,1000000,0.1
7,0.000278,1000,0.01
7,0.000191,10000,0.01
7,0.000201,100000,0.01
7,0.000797,1000000,0.01
7,0.000213,1000,0.05
7,0.000293,10000,0.05
7,0.000274,100000,0.05
7,0.001206,1000000,0.05
7,0.000397,1000,0.1
7,0.000388,10000,0.1
7,0.000286,100000,0.1
7,0.000749,1000000,0.1
8,0.000191,1000,0.01
8,0.000203,10000,0.01
8,0.000199,100000,0.01
8,0.000842,1000000,0.01
8,0.000315,1000,0.05
8,0.000316,10000,0.05
8,0.000477,100000,0.05
8,0.00259,1000000,0.05
8,0.000361,1000,0.1
8,0.00043,10000,0.1
8,0.000402,100000,0.1
8,0.000544,1000000,0.1
9,0.000215,1000,0.01
9,0.000262,10000,0.01
9,0.000341,100000,0.01
9,0.000592,1000000,0.01
9,0.000215,1000,0.05
9,0.000332,10000,0.05
9,0.000314,100000,0.05
9,0.000944,1000000,0.05
9,0.000335,1000,0.1
9,0.000473,10000,0.1
9,0.000474,100000,0.1
9,0.00084,1000000,0.1
