Iter,Time,Size,Sparsity
0,0.001311,1000,0.01
0,0.000811,10000,0.01
0,0.000776,100000,0.01
0,0.002756,1000000,0.01
0,0.00025,1000,0.05
0,0.000221,10000,0.05
0,0.003481,100000,0.05
0,0.002472,1000000,0.05
0,0.000204,1000,0.1
0,0.000259,10000,0.1
0,0.000912,100000,0.1
0,0.004565,1000000,0.1
1,0.000206,1000,0.01
1,0.000193,10000,0.01
1,0.001007,100000,0.01
1,0.002644,1000000,0.01
1,0.000219,1000,0.05
1,0.000231,10000,0.05
1,0.000743,100000,0.05
1,0.001408,1000000,0.05
1,0.000176,1000,0.1
1,0.000657,10000,0.1
1,0.000713,100000,0.1
1,0.0016,1000000,0.1
2,0.000158,1000,0.01
2,0.000587,10000,0.01
2,0.000668,100000,0.01
2,0.001469,1000000,0.01
2,0.00016,1000,0.05
2,0.000167,10000,0.05
2,0.000799,100000,0.05
2,0.001357,1000000,0.05
2,0.0006,1000,0.1
2,0.000182,10000,0.1
2,0.000658,100000,0.1
2,0.000902,1000000,0.1
3,0.000194,1000,0.01
3,0.000171,10000,0.01
3,0.000643,100000,0.01
3,0.00097,1000000,0.01
3,0.000178,1000,0.05
3,0.000581,10000,0.05
3,0.000638,100000,0.05
3,0.00158,1000000,0.05
3,0.000202,1000,0.1
3,0.000229,10000,0.1
3,0.001053,100000,0.1
3,0.001662,1000000,0.1
4,0.000194,1000,0.01
4,0.000193,10000,0.01
4,0.000614,100000,0.01
4,0.000985,1000000,0.01
4,0.000179,1000,0.05
4,0.00061,10000,0.05
4,0.000628,100000,0.05
4,0.001937,1000000,0.05
4,0.000196,1000,0.1
4,0.000322,10000,0.1
4,0.000712,100000,0.1
4,0.003219,1000000,0.1
5,0.000203,1000,0.01
5,0.00016,10000,0.01
5,0.000734,100000,0.01
5,0.001327,1000000,0.01
5,0.000167,1000,0.05
5,0.000202,10000,0.05
5,0.000623,100000,0.05
5,0.001522,1000000,0.05
5,0.000185,1000,0.1
5,0.000236,10000,0.1
5,0.001268,100000,0.1
5,0.002566,1000000,0.1
6,0.000194,1000,0.01
6,0.00019,10000,0.01
6,0.000727,100000,0.01
6,0.002081,1000000,0.01
6,0.000204,1000,0.05
6,0.000667,10000,0.05
6,0.001273,100000,0.05
6,0.001682,1000000,0.05
6,0.000194,1000,0.1
6,0.000223,10000,0.1
6,0.000995,100000,0.1
6,0.001091,1000000,0.1
7,0.000171,1000,0.01
7,0.000199,10000,0.01
7,0.000628,100000,0.01
7,0.002471,1000000,0.01
7,0.000207,1000,0.05
7,0.000643,10000,0.05
7,0.000861,100000,0.05
7,0.001445,1000000,0.05
7,0.000193,1000,0.1
7,0.000605,10000,0.1
7,0.001223,100000,0.1
7,0.001732,1000000,0.1
8,0.000179,1000,0.01
8,0.000602,10000,0.01
8,0.000626,100000,0.01
8,0.002082,1000000,0.01
8,0.000202,1000,0.05
8,0.000229,10000,0.05
8,0.000807,100000,0.05
8,0.002081,1000000,0.05
8,0.000221,1000,0.1
8,0.000654,10000,0.1
8,0.000834,100000,0.1
8,0.002327,1000000,0.1
9,0.000214,1000,0.01
9,0.000267,10000,0.01
9,0.000703,100000,0.01
9,0.001369,1000000,0.01
9,0.000255,1000,0.05
9,0.000647,10000,0.05
9,0.000699,100000,0.05
9,0.001558,1000000,0.05
9,0.000164,1000,0.1
9,0.000226,10000,0.1
9,0.000627,100000,0.1
9,0.002452,1000000,0.1
