Iter,Overhead,Size,Sparsity
0,0.000631,1000,0.01
0,0.000675,10000,0.01
0,0.000693,100000,0.01
0,0.001449,1000000,0.01
0,0.000631,1000,0.05
0,0.00067,10000,0.05
0,0.000641,100000,0.05
0,0.001035,1000000,0.05
0,0.000539,1000,0.1
0,0.000575,10000,0.1
0,0.000615,100000,0.1
0,0.00128,1000000,0.1
1,0.000614,1000,0.01
1,0.000653,10000,0.01
1,0.000737,100000,0.01
1,0.001798,1000000,0.01
1,0.000551,1000,0.05
1,0.000636,10000,0.05
1,0.000622,100000,0.05
1,0.000933,1000000,0.05
1,0.000489,1000,0.1
1,0.000587,10000,0.1
1,0.000579,100000,0.1
1,0.000568,1000000,0.1
2,0.000471,1000,0.01
2,0.000523,10000,0.01
2,0.000574,100000,0.01
2,0.001593,1000000,0.01
2,0.000462,1000,0.05
2,0.000506,10000,0.05
2,0.000525,100000,0.05
2,0.000927,1000000,0.05
2,0.000477,1000,0.1
2,0.00049,10000,0.1
2,0.000521,100000,0.1
2,0.000588,1000000,0.1
3,0.000498,1000,0.01
3,0.000505,10000,0.01
3,0.000615,100000,0.01
3,0.000714,1000000,0.01
3,0.000449,1000,0.05
3,0.000516,10000,0.05
3,0.000515,100000,0.05
3,0.001239,1000000,0.05
3,0.000467,1000,0.1
3,0.000473,10000,0.1
3,0.000649,100000,0.1
3,0.000582,1000000,0.1
4,0.00048,1000,0.01
4,0.000557,10000,0.01
4,0.000511,100000,0.01
4,0.000617,1000000,0.01
4,0.00045,1000,0.05
4,0.00051,10000,0.05
4,0.000555,100000,0.05
4,0.001701,1000000,0.05
4,0.00048,1000,0.1
4,0.00072,10000,0.1
4,0.00055,100000,0.1
4,0.00118,1000000,0.1
5,0.000489,1000,0.01
5,0.000469,10000,0.01
5,0.000589,100000,0.01
5,0.001209,1000000,0.01
5,0.000464,1000,0.05
5,0.000544,10000,0.05
5,0.000605,100000,0.05
5,0.001179,1000000,0.05
5,0.00043,1000,0.1
5,0.000511,10000,0.1
5,0.00062,100000,0.1
5,0.001095,1000000,0.1
6,0.000497,1000,0.01
6,0.000537,10000,0.01
6,0.000575,100000,0.01
6,0.00142,1000000,0.01
6,0.000502,1000,0.05
6,0.000585,10000,0.05
6,0.000802,100000,0.05
6,0.001179,1000000,0.05
6,0.00049,1000,0.1
6,0.000556,10000,0.1
6,0.000658,100000,0.1
6,0.000541,1000000,0.1
7,0.000463,1000,0.01
7,0.000496,10000,0.01
7,0.000512,100000,0.01
7,0.001306,1000000,0.01
7,0.000448,1000,0.05
7,0.000499,10000,0.05
7,0.000513,100000,0.05
7,0.000817,1000000,0.05
7,0.000459,1000,0.1
7,0.000474,10000,0.1
7,0.000658,100000,0.1
7,0.000702,1000000,0.1
8,0.000491,1000,0.01
8,0.000535,10000,0.01
8,0.000654,100000,0.01
8,0.001187,1000000,0.01
8,0.000559,1000,0.05
8,0.000556,10000,0.05
8,0.000656,100000,0.05
8,0.002703,1000000,0.05
8,0.000484,1000,0.1
8,0.00055,10000,0.1
8,0.000516,100000,0.1
8,0.000798,1000000,0.1
9,0.000498,1000,0.01
9,0.000621,10000,0.01
9,0.000542,100000,0.01
9,0.001191,1000000,0.01
9,0.000476,1000,0.05
9,0.000492,10000,0.05
9,0.000537,100000,0.05
9,0.001039,1000000,0.05
9,0.000524,1000,0.1
9,0.000521,10000,0.1
9,0.000525,100000,0.1
9,0.000915,1000000,0.1
